Type;A[Real|0.014|5.322];V[Real|0|2];B[Real|0|2];S[Real|4|371.428571428571];U[Real|0.874890638670166|877.19298245614];Ph[Real|0|877.19298245614];Pe[Real|0|43697.0338983051];L[Real|108|4551.72413793103]
Feasible;0.46;0.00;0.00;43.76;306.35;65.65;0.00;879.65
Feasible;0.46;0.00;0.00;21.88;273.52;54.70;1094.09;654.27
Feasible;0.70;1.00;0.00;31.43;285.71;214.29;0.00;1567.14
Feasible;0.70;1.00;0.00;34.29;285.71;214.29;0.00;1418.57
Feasible;0.50;0.00;0.00;40.00;200.00;100.00;1000.00;790.00
Feasible;0.50;0.00;0.00;40.00;200.00;100.00;1000.00;870.00
Feasible;0.36;0.00;0.00;33.61;210.08;70.03;1680.67;893.56
Feasible;0.36;0.00;0.00;33.61;210.08;70.03;0.00;515.41
Feasible;1.07;0.00;0.00;32.68;186.74;93.37;2334.27;591.97
Feasible;1.07;0.00;0.00;32.68;280.11;93.37;0.00;639.59
Feasible;0.35;0.00;0.00;42.86;142.86;28.57;0.00;871.43
Feasible;0.35;0.00;0.00;42.86;142.86;28.57;0.00;988.57
Feasible;0.38;0.00;0.00;31.83;265.25;66.31;0.00;1103.45
Feasible;0.50;0.00;2.00;32.00;140.00;20.00;0.00;834.00
Feasible;0.42;0.00;0.00;42.45;306.60;47.17;0.00;905.66
Feasible;0.42;0.00;0.00;42.45;306.60;47.17;0.00;839.62
Feasible;0.08;0.00;0.00;37.50;87.50;0.00;0.00;675.00
Feasible;0.08;0.00;0.00;37.50;87.50;0.00;0.00;600.00
Feasible;0.02;0.00;0.00;117.65;294.12;0.00;0.00;2764.71
Feasible;0.07;0.00;0.00;14.08;84.51;56.34;0.00;1112.68
Feasible;0.13;0.00;0.00;38.76;155.04;77.52;0.00;1116.28
Feasible;0.13;0.00;0.00;38.76;155.04;77.52;0.00;1116.28
Feasible;0.35;0.00;1.00;28.57;214.29;71.43;1142.86;885.71
Feasible;0.35;0.00;1.00;28.57;214.29;71.43;1142.86;1274.29
Feasible;0.35;0.00;1.00;42.74;712.25;142.45;8547.01;660.97
Feasible;0.35;0.00;0.00;28.49;242.17;42.74;0.00;592.59
Feasible;0.35;0.00;0.00;45.71;285.71;142.86;0.00;708.57
Feasible;0.35;0.00;0.00;45.71;285.71;142.86;0.00;757.14
Feasible;1.05;0.00;1.00;30.48;200.00;66.67;1904.76;452.38
Feasible;1.05;0.00;1.00;30.48;200.00;66.67;1904.76;476.19
Feasible;1.07;0.00;1.00;29.88;56.02;18.67;466.85;745.10
Feasible;0.71;0.00;0.00;28.01;105.04;35.01;0.00;1211.48
Feasible;0.82;0.00;0.00;28.12;130.81;37.90;0.00;1415.65
Feasible;0.82;0.00;0.00;28.12;130.81;37.90;0.00;1381.42
Feasible;0.38;0.00;0.00;44.74;210.53;52.63;0.00;1171.05
Feasible;0.38;0.00;0.00;44.74;210.53;52.63;0.00;1236.84
Feasible;0.39;0.00;0.00;33.59;323.00;38.76;0.00;1023.26
Feasible;0.39;0.00;0.00;38.76;245.48;77.52;0.00;1661.50
Feasible;0.18;0.00;0.00;34.29;228.57;114.29;0.00;1542.86
Feasible;0.18;0.00;0.00;34.29;228.57;114.29;0.00;1840.00
Feasible;0.35;0.00;1.00;45.71;142.86;57.14;1428.57;557.14
Feasible;0.35;0.00;1.00;45.71;142.86;57.14;1428.57;585.71
Feasible;0.70;0.00;1.00;28.49;106.84;35.61;0.00;497.15
Feasible;0.71;0.00;2.00;21.01;140.06;70.03;0.00;602.24
Feasible;0.32;0.00;0.00;59.38;281.25;93.75;0.00;937.50
Feasible;0.07;0.00;0.00;42.86;214.29;71.43;0.00;857.14
Feasible;0.70;0.00;0.00;35.71;142.86;71.43;714.29;642.86
Feasible;0.70;0.00;0.00;35.71;142.86;71.43;714.29;734.29
Feasible;0.54;0.00;0.00;27.99;279.85;0.00;0.00;634.33
Feasible;0.28;0.00;0.00;35.46;141.84;35.46;0.00;773.05
Feasible;0.36;0.00;0.00;33.52;223.46;55.87;0.00;972.07
Feasible;0.36;0.00;0.00;39.11;223.46;55.87;0.00;986.03
Feasible;0.18;0.00;0.00;28.57;171.43;85.71;571.43;920.00
Feasible;0.35;0.00;0.00;25.71;171.43;85.71;285.71;1488.57
Feasible;0.36;0.00;0.00;27.93;195.53;83.80;0.00;634.08
Feasible;0.30;1.00;1.00;36.67;300.00;100.00;0.00;1673.33
Feasible;0.36;0.00;0.00;27.93;279.33;67.04;0.00;1022.35
Feasible;0.36;0.00;0.00;27.93;279.33;67.04;0.00;1053.07
Feasible;0.38;0.00;0.00;47.37;328.95;65.79;789.47;615.79
Feasible;0.38;0.00;0.00;47.37;328.95;65.79;789.47;694.74
Feasible;0.54;1.00;0.00;33.58;279.85;27.99;0.00;611.94
Feasible;0.54;0.00;0.00;27.99;263.06;16.79;0.00;766.79
Feasible;0.77;0.00;0.00;34.88;193.80;12.92;0.00;797.16
Feasible;0.72;0.00;0.00;37.29;207.18;13.81;0.00;910.22
Feasible;0.18;0.00;0.00;16.67;222.22;111.11;0.00;672.22
Feasible;0.18;0.00;0.00;16.67;222.22;111.11;0.00;1627.78
Feasible;0.10;0.00;0.00;30.00;250.00;100.00;0.00;1320.00
Feasible;0.18;0.00;0.00;16.76;139.66;27.93;0.00;502.79
Feasible;0.18;0.00;0.00;22.35;139.66;55.87;0.00;586.59
Feasible;0.18;0.00;0.00;22.35;111.73;111.73;0.00;642.46
Feasible;0.21;0.00;0.00;38.65;193.24;48.31;0.00;1033.82
Feasible;0.18;0.00;0.00;33.33;222.22;55.56;0.00;1450.00
Feasible;0.57;0.00;0.00;17.70;88.50;44.25;0.00;677.88
Feasible;0.54;0.00;2.00;16.79;223.88;37.31;0.00;1007.46
Feasible;0.54;0.00;0.00;27.99;298.51;93.28;0.00;930.97
Feasible;0.54;0.00;0.00;27.99;298.51;93.28;0.00;824.63
Feasible;0.17;0.00;0.00;23.53;176.47;29.41;0.00;705.88
Feasible;0.17;0.00;0.00;23.53;176.47;29.41;0.00;764.71
Feasible;0.18;0.00;0.00;22.35;111.73;27.93;0.00;1312.85
Feasible;0.18;0.00;0.00;22.35;139.66;27.93;0.00;625.70
Feasible;0.34;0.00;0.00;44.25;442.48;117.99;0.00;1274.34
Feasible;0.34;0.00;0.00;44.25;442.48;117.99;0.00;1238.94
Feasible;0.35;0.00;0.00;42.86;214.29;71.43;714.29;771.43
Feasible;0.35;0.00;0.00;42.86;214.29;71.43;714.29;771.43
Feasible;0.43;0.00;0.00;39.81;292.74;35.13;0.00;749.41
Feasible;0.43;0.00;0.00;35.13;117.10;23.42;234.19;1278.69
Feasible;0.71;0.00;0.00;28.01;350.14;70.03;3501.40;505.60
Feasible;0.71;0.00;0.00;28.01;350.14;70.03;3501.40;645.66
Feasible;0.70;0.00;0.00;28.57;114.29;64.29;0.00;400.00
Feasible;0.70;0.00;0.00;28.57;114.29;60.00;0.00;421.43
Feasible;0.99;0.00;0.00;40.28;251.76;50.35;0.00;482.38
Feasible;1.07;0.00;0.00;28.01;233.43;46.69;0.00;1232.49
Feasible;1.04;0.00;0.00;28.96;347.49;231.66;2123.55;756.76
Feasible;1.04;0.00;0.00;28.96;347.49;231.66;2123.55;588.80
Feasible;0.53;0.00;0.00;26.67;95.24;47.62;952.38;647.62
Feasible;0.53;0.00;0.00;26.67;95.24;47.62;952.38;647.62
Feasible;0.25;0.00;0.00;20.00;40.00;20.00;0.00;348.00
Feasible;0.18;0.00;0.00;28.57;285.71;0.00;0.00;1245.71
Feasible;0.92;0.00;0.00;27.09;260.02;59.59;0.00;816.90
Feasible;0.92;0.00;0.00;27.09;287.11;59.59;0.00;834.24
Feasible;0.56;0.00;1.00;25.18;269.78;89.93;0.00;525.18
Feasible;0.56;0.00;1.00;25.18;269.78;89.93;0.00;444.24
Feasible;0.55;2.00;1.00;18.32;274.73;91.58;1877.29;679.49
Feasible;0.54;1.00;0.00;27.99;111.94;18.66;559.70;697.76
Feasible;0.57;0.00;0.00;30.04;176.68;58.30;0.00;992.93
Feasible;0.57;0.00;0.00;30.04;194.35;58.30;0.00;992.93
Feasible;1.05;0.00;0.00;19.05;95.24;47.62;0.00;584.76
Feasible;0.70;0.00;0.00;21.43;114.29;57.14;0.00;651.43
Feasible;0.84;0.00;0.00;38.05;118.91;17.84;0.00;967.90
Feasible;0.75;0.00;0.00;22.58;199.20;66.40;0.00;948.21
Feasible;0.36;0.00;0.00;39.22;350.14;70.03;3081.23;929.97
Feasible;0.36;0.00;0.00;39.22;350.14;70.03;0.00;997.20
Feasible;0.23;0.00;0.00;56.52;173.91;65.22;3913.04;1408.70
Feasible;0.17;0.00;0.00;58.48;175.44;58.48;0.00;1309.94
Feasible;0.31;0.00;0.00;47.77;191.08;127.39;0.00;1054.14
Feasible;0.29;0.00;0.00;31.47;174.83;69.93;0.00;751.75
Feasible;0.25;0.00;0.00;32.00;320.00;320.00;0.00;1572.00
Feasible;0.22;0.00;0.00;36.20;226.24;226.24;0.00;1656.11
Feasible;0.42;0.00;1.00;35.71;297.62;178.57;1190.48;719.05
Feasible;0.07;0.00;1.00;100.00;428.57;142.86;0.00;1200.00
Feasible;0.43;0.00;1.00;27.91;174.42;290.70;581.40;513.95
Feasible;0.30;0.00;0.00;33.33;166.67;66.67;0.00;933.33
Feasible;0.86;0.00;0.00;23.34;175.03;58.34;0.00;1960.33
Feasible;0.29;0.00;0.00;27.97;174.83;69.93;0.00;1066.43
Feasible;0.11;0.00;0.00;44.64;133.93;89.29;0.00;803.57
Feasible;0.07;0.00;0.00;57.14;142.86;28.57;0.00;985.71
Feasible;0.14;0.00;0.00;27.97;139.86;34.97;0.00;811.19
Feasible;0.09;0.00;0.00;46.51;11.63;23.26;0.00;1220.93
Feasible;0.07;0.00;0.00;56.34;352.11;211.27;0.00;2014.08
Feasible;0.04;0.00;0.00;55.56;222.22;194.44;0.00;1888.89
Feasible;0.46;0.00;0.00;43.96;329.67;109.89;1098.90;1228.57
Feasible;0.07;0.00;0.00;42.86;214.29;142.86;0.00;871.43
Feasible;0.46;0.00;0.00;43.10;323.28;107.76;0.00;1491.38
Feasible;0.14;0.00;0.00;35.71;178.57;107.14;0.00;1050.00
Feasible;0.46;0.00;0.00;59.08;437.64;328.23;2188.18;1641.14
Feasible;0.31;0.00;0.00;70.06;382.17;191.08;0.00;1640.13
Feasible;0.14;0.00;1.00;41.96;125.87;125.87;0.00;1223.78
Feasible;0.04;0.00;1.00;83.33;138.89;138.89;0.00;1777.78
Feasible;0.14;0.00;1.00;41.96;244.76;244.76;0.00;440.56
Feasible;0.09;0.00;0.00;23.53;70.59;47.06;0.00;1058.82
Feasible;0.07;0.00;0.00;28.17;239.44;112.68;0.00;1816.90
Feasible;0.04;0.00;0.00;55.56;277.78;138.89;0.00;1111.11
Feasible;0.21;0.00;0.00;32.71;186.92;186.92;1682.24;1813.08
Feasible;0.21;0.00;0.00;32.71;186.92;186.92;0.00;1369.16
Feasible;0.14;0.00;0.00;41.96;209.79;139.86;0.00;636.36
Feasible;0.14;0.00;0.00;34.97;223.78;69.93;0.00;825.17
Feasible;0.21;0.00;0.00;32.71;327.10;327.10;0.00;1116.82
Feasible;0.21;0.00;0.00;32.71;280.37;280.37;0.00;738.32
Feasible;0.20;0.00;0.00;51.02;76.53;51.02;0.00;1107.14
Feasible;0.14;0.00;0.00;35.71;107.14;107.14;0.00;900.00
Feasible;0.14;0.00;0.00;41.96;104.90;104.90;0.00;685.31
Feasible;0.13;0.00;0.00;39.68;150.79;150.79;0.00;825.40
Feasible;0.14;0.00;0.00;34.97;174.83;69.93;0.00;986.01
Feasible;0.14;0.00;0.00;34.97;174.83;69.93;0.00;986.01
Feasible;0.43;0.00;0.00;69.93;209.79;139.86;839.16;1034.97
Feasible;0.14;0.00;0.00;69.93;209.79;139.86;0.00;1314.69
Feasible;0.28;0.00;0.00;71.43;250.00;142.86;0.00;710.71
Feasible;0.21;0.00;0.00;46.95;187.79;93.90;0.00;892.02
Feasible;0.40;0.00;0.00;30.00;375.00;125.00;0.00;962.50
Feasible;0.25;2.00;0.00;32.00;400.00;120.00;0.00;1028.00
Feasible;0.49;0.00;1.00;51.02;408.16;204.08;1020.41;753.06
Feasible;0.34;0.00;1.00;29.41;176.47;58.82;0.00;526.47
Feasible;0.50;1.00;1.00;30.00;150.00;150.00;0.00;1272.00
Feasible;0.14;0.00;0.00;69.93;160.84;251.75;0.00;1041.96
Feasible;1.11;0.00;0.00;29.62;233.39;67.32;0.00;976.66
Feasible;0.56;2.00;0.00;26.93;233.39;71.81;0.00;1007.18
Feasible;0.09;0.00;0.00;93.02;581.40;290.70;0.00;1511.63
Feasible;0.04;0.00;0.00;69.77;302.33;279.07;0.00;2000.00
Feasible;0.23;0.00;0.00;113.54;305.68;174.67;0.00;1842.79
Feasible;0.06;0.00;0.00;70.18;350.88;298.25;0.00;2280.70
Feasible;0.49;0.00;0.00;41.15;411.52;123.46;0.00;2024.69
Feasible;0.06;0.00;0.00;52.63;350.88;87.72;0.00;1649.12
Feasible;0.21;0.00;0.00;48.54;339.81;145.63;0.00;1228.16
Feasible;0.09;0.00;0.00;54.95;329.67;329.67;0.00;1428.57
Feasible;0.41;0.00;0.00;24.15;144.93;96.62;0.00;1028.99
Feasible;0.13;0.00;0.00;39.06;203.13;93.75;0.00;1296.88
Feasible;0.14;0.00;0.00;34.97;279.72;139.86;0.00;1272.73
Feasible;0.09;0.00;0.00;43.01;376.34;107.53;0.00;795.70
Feasible;0.14;0.00;0.00;34.97;209.79;139.86;0.00;1209.79
Feasible;0.04;0.00;0.00;69.77;348.84;232.56;0.00;1395.35
Feasible;0.07;0.00;0.00;28.57;357.14;71.43;0.00;1085.71
Feasible;0.04;0.00;0.00;27.78;138.89;55.56;0.00;1944.44
Feasible;0.14;0.00;0.00;34.97;209.79;104.90;0.00;1076.92
Feasible;0.07;2.00;0.00;28.17;211.27;70.42;0.00;1056.34
Feasible;0.14;0.00;1.00;41.96;209.79;139.86;0.00;1006.99
Feasible;0.07;0.00;1.00;42.25;211.27;140.85;0.00;1309.86
Feasible;0.21;0.00;1.00;32.86;215.96;136.15;1173.71;661.97
Feasible;0.07;0.00;0.00;42.25;211.27;112.68;0.00;873.24
Feasible;0.36;0.00;0.00;56.02;280.11;70.03;1400.56;1014.01
Feasible;0.14;0.00;0.00;41.96;209.79;69.93;0.00;1349.65
Feasible;0.14;0.00;0.00;41.96;174.83;104.90;0.00;1118.88
Feasible;0.07;0.00;0.00;42.25;169.01;112.68;0.00;1126.76
Feasible;0.14;0.00;0.00;20.98;139.86;69.93;0.00;720.28
Feasible;0.07;0.00;0.00;42.25;211.27;70.42;0.00;816.90
Feasible;0.19;2.00;0.00;27.03;378.38;162.16;0.00;1902.70
Feasible;0.11;2.00;0.00;17.54;263.16;175.44;0.00;1614.04
Feasible;0.13;0.00;0.00;75.19;375.94;375.94;0.00;1315.79
Feasible;0.16;0.00;0.00;38.46;160.26;160.26;0.00;1070.51
Feasible;0.18;0.00;0.00;27.93;167.60;167.60;279.33;994.41
Feasible;0.11;0.00;0.00;37.38;186.92;46.73;467.29;1467.29
Feasible;0.20;1.00;0.00;30.00;300.00;150.00;0.00;1225.00
Feasible;0.11;0.00;0.00;35.09;219.30;219.30;0.00;2175.44
Feasible;0.56;0.00;0.00;26.79;133.93;62.50;0.00;537.50
Feasible;0.41;0.00;0.00;19.70;147.78;49.26;0.00;339.90
Feasible;0.29;0.00;0.00;34.97;262.24;174.83;0.00;758.74
Feasible;0.29;0.00;0.00;34.97;209.79;139.86;0.00;622.38
Feasible;0.29;0.00;0.00;69.93;349.65;174.83;0.00;1269.23
Feasible;0.16;2.00;0.00;60.98;426.83;182.93;0.00;1378.05
Feasible;0.21;0.00;0.00;74.77;327.10;140.19;841.12;658.88
Feasible;0.14;0.00;0.00;41.96;279.72;139.86;0.00;461.54
Feasible;0.22;0.00;0.00;45.45;113.64;340.91;0.00;731.82
Feasible;0.17;0.00;0.00;40.94;175.44;116.96;0.00;578.95
Feasible;0.37;0.00;0.00;40.43;269.54;67.39;0.00;1202.16
Feasible;0.19;0.00;0.00;41.45;259.07;129.53;0.00;1279.79
Feasible;0.70;0.00;0.00;35.71;142.86;71.43;0.00;961.43
Feasible;0.50;0.00;0.00;40.00;150.00;50.00;0.00;732.00
Feasible;0.71;0.00;0.00;28.01;210.08;105.04;0.00;495.80
Feasible;0.60;0.00;0.00;33.33;333.33;33.33;0.00;1071.67
Feasible;0.43;2.00;0.00;34.97;186.48;46.62;0.00;1081.59
Feasible;0.43;2.00;0.00;34.97;139.86;46.62;0.00;965.03
Feasible;0.07;0.00;1.00;28.17;211.27;98.59;0.00;1507.04
Feasible;0.07;0.00;1.00;28.17;211.27;98.59;0.00;1507.04
Feasible;0.14;0.00;1.00;71.43;178.57;357.14;0.00;914.29
Feasible;0.07;0.00;0.00;28.57;285.71;142.86;0.00;1571.43
Feasible;0.21;2.00;0.00;46.73;280.37;93.46;0.00;1504.67
Feasible;0.07;2.00;0.00;42.25;281.69;70.42;0.00;2140.85
Feasible;1.12;0.00;0.00;29.46;241.07;151.79;0.00;786.61
Feasible;0.32;0.00;0.00;18.63;217.39;93.17;0.00;1378.88
Feasible;0.43;0.00;0.00;23.36;175.23;175.23;0.00;364.49
Feasible;0.30;0.00;0.00;50.00;250.00;50.00;0.00;763.33
Feasible;0.43;0.00;0.00;58.28;151.52;151.52;0.00;1331.00
Feasible;0.21;0.00;0.00;56.07;140.19;140.19;0.00;1682.24
Feasible;0.16;0.00;0.00;36.59;48.78;42.68;0.00;725.61
Feasible;0.09;0.00;0.00;34.88;46.51;34.88;0.00;1104.65
Feasible;0.16;0.00;0.00;95.54;318.47;318.47;0.00;1904.46
Feasible;0.10;0.00;0.00;90.00;100.00;80.00;0.00;1300.00
Feasible;0.39;0.00;0.00;30.53;216.28;63.61;0.00;1239.19
Feasible;0.11;2.00;0.00;28.30;188.68;141.51;0.00;1990.57
Feasible;0.14;0.00;1.00;41.96;244.76;174.83;1048.95;1020.98
Feasible;0.06;0.00;1.00;52.63;228.07;210.53;0.00;1385.96
Feasible;0.21;0.00;1.00;28.04;163.55;116.82;0.00;892.52
Feasible;0.10;0.00;0.00;50.00;150.00;40.00;0.00;1300.00
Feasible;0.31;1.00;2.00;47.77;222.93;95.54;0.00;1283.44
Feasible;0.12;1.00;0.00;33.06;247.93;123.97;0.00;1661.16
Feasible;0.56;0.00;2.00;25.00;178.57;133.93;892.86;1208.93
Feasible;0.46;0.00;2.00;43.96;109.89;43.96;0.00;389.01
Feasible;0.57;0.00;2.00;28.02;175.13;0.00;0.00;1049.04
Feasible;0.47;0.00;0.00;27.96;133.33;38.71;0.00;604.30
Feasible;0.32;2.00;2.00;31.15;218.07;77.88;0.00;1358.26
Feasible;0.04;2.00;0.00;55.56;166.67;138.89;0.00;1722.22
Feasible;0.29;0.00;0.00;24.48;332.17;104.90;0.00;1783.22
Feasible;0.14;0.00;0.00;27.97;244.76;139.86;0.00;1370.63
Feasible;0.36;0.00;0.00;84.03;280.11;140.06;350.14;1070.03
Feasible;0.14;0.00;0.00;48.95;209.79;139.86;0.00;1797.20
Feasible;0.12;0.00;0.00;33.06;289.26;206.61;0.00;1553.72
Feasible;0.08;0.00;0.00;37.97;316.46;126.58;0.00;1544.30
Feasible;0.36;0.00;0.00;28.01;140.06;84.03;0.00;495.80
Feasible;0.10;0.00;0.00;30.00;150.00;100.00;0.00;670.00
Feasible;0.29;0.00;0.00;34.97;104.90;69.93;0.00;1125.87
Feasible;0.10;0.00;0.00;30.00;80.00;40.00;0.00;870.00
Feasible;0.32;0.00;0.00;31.15;202.49;93.46;0.00;1464.17
Feasible;0.19;0.00;0.00;25.91;207.25;103.63;0.00;875.65
Feasible;0.28;0.00;0.00;21.51;172.04;139.78;0.00;684.59
Feasible;0.11;0.00;0.00;28.04;93.46;46.73;0.00;1504.67
Feasible;0.07;0.00;0.00;42.25;70.42;84.51;0.00;1887.32
Feasible;0.07;0.00;0.00;42.25;56.34;56.34;0.00;1253.52
Feasible;0.14;0.00;0.00;34.97;279.72;69.93;0.00;1839.16
Feasible;0.07;0.00;0.00;42.25;281.69;70.42;0.00;1253.52
Feasible;0.21;0.00;0.00;42.86;333.33;238.10;1190.48;976.19
Feasible;0.21;0.00;0.00;18.87;212.26;84.91;0.00;1127.36
Feasible;0.21;0.00;0.00;70.09;233.64;93.46;0.00;1345.79
Feasible;0.14;0.00;0.00;20.98;489.51;139.86;0.00;1090.91
Feasible;0.11;0.00;0.00;35.09;350.88;166.67;0.00;2754.39
Feasible;0.07;2.00;0.00;42.25;380.28;183.10;0.00;2126.76
Feasible;0.36;0.00;0.00;33.61;140.06;56.02;1008.40;1249.30
Feasible;0.14;0.00;0.00;27.97;174.83;174.83;0.00;1174.83
Feasible;0.29;0.00;0.00;34.97;349.65;174.83;0.00;926.57
Feasible;0.10;0.00;0.00;20.00;300.00;300.00;0.00;1340.00
Feasible;0.29;0.00;0.00;34.84;209.06;87.11;0.00;1003.48
Feasible;0.13;2.00;0.00;38.76;193.80;116.28;0.00;1240.31
Feasible;0.29;0.00;1.00;20.98;174.83;174.83;874.13;937.06
Feasible;0.14;0.00;1.00;20.98;174.83;174.83;0.00;1076.92
Feasible;0.14;0.00;1.00;35.21;176.06;176.06;0.00;887.32
Feasible;0.21;0.00;0.00;32.71;149.53;130.84;0.00;911.21
Feasible;0.17;0.00;0.00;35.09;233.92;116.96;0.00;1801.17
Feasible;0.15;0.00;0.00;33.33;200.00;133.33;0.00;1220.00
Feasible;0.08;0.00;0.00;71.43;238.10;119.05;0.00;1309.52
Feasible;0.01;0.00;0.00;142.86;357.14;214.29;0.00;2000.00
Feasible;0.10;0.00;0.00;70.00;200.00;100.00;0.00;1030.00
Feasible;0.07;0.00;0.00;56.34;98.59;98.59;0.00;1070.42
Feasible;0.21;0.00;0.00;37.38;280.37;186.92;0.00;953.27
Feasible;0.07;2.00;0.00;67.57;540.54;135.14;0.00;1500.00
Feasible;0.10;0.00;0.00;51.02;204.08;102.04;0.00;1448.98
Feasible;0.06;0.00;0.00;53.57;267.86;178.57;0.00;1017.86
Feasible;0.10;0.00;0.00;50.00;150.00;100.00;0.00;2200.00
Feasible;0.04;0.00;0.00;75.00;300.00;200.00;0.00;3150.00
Feasible;0.16;1.00;0.00;42.68;304.88;304.88;0.00;3054.88
Feasible;0.09;2.00;0.00;34.88;174.42;116.28;0.00;3197.67
Feasible;0.14;0.00;0.00;34.97;349.65;104.90;0.00;1496.50
Feasible;0.04;0.00;0.00;23.26;116.28;116.28;0.00;1953.49
Feasible;0.23;0.00;0.00;17.47;174.67;174.67;0.00;965.07
Feasible;0.04;0.00;0.00;69.77;348.84;209.30;0.00;1906.98
Feasible;0.28;0.00;0.00;54.15;451.26;270.76;0.00;2599.28
Feasible;0.19;0.00;0.00;53.76;403.23;134.41;0.00;1623.66
Feasible;0.57;0.00;1.00;35.03;131.35;43.78;0.00;709.28
Feasible;0.07;0.00;1.00;70.42;211.27;140.85;0.00;1661.97
Feasible;0.57;0.00;1.00;22.77;218.91;131.35;0.00;1164.62
Feasible;0.36;0.00;0.00;42.25;87.32;67.61;0.00;892.96
Feasible;0.46;1.00;0.00;32.33;215.52;96.98;0.00;926.72
Feasible;0.32;1.00;0.00;31.15;233.64;93.46;0.00;841.12
Feasible;0.35;0.00;1.00;28.90;115.61;43.35;1228.32;540.46
Feasible;0.19;2.00;1.00;26.88;107.53;26.88;2284.95;1069.89
Feasible;0.35;0.00;1.00;31.88;101.45;101.45;4347.83;898.55
Feasible;0.19;0.00;0.00;27.03;254.05;27.03;1216.22;1178.38
Feasible;0.57;2.00;0.00;34.97;340.91;174.83;2622.38;1386.36
Feasible;0.61;2.00;2.00;36.30;209.57;132.01;3960.40;1343.23
Feasible;0.24;0.00;0.00;24.79;103.31;82.64;3719.01;1099.17
Feasible;0.11;0.00;0.00;37.38;177.57;177.57;6308.41;2000.00
Feasible;0.18;0.00;0.00;112.36;280.90;280.90;5617.98;1483.15
Feasible;0.14;2.00;0.00;35.21;633.80;176.06;1408.45;1873.24
Feasible;1.05;0.00;0.00;42.74;223.17;109.21;1139.60;666.67
Feasible;1.05;2.00;0.00;42.74;223.17;109.21;1139.60;830.96
Feasible;0.40;0.00;1.00;25.00;187.50;125.00;2250.00;570.00
Feasible;0.16;0.00;1.00;31.85;191.08;31.85;0.00;726.11
Feasible;0.39;0.00;1.00;31.17;441.56;129.87;1558.44;644.16
Feasible;0.09;2.00;0.00;35.29;447.06;35.29;2352.94;1317.65
Feasible;1.22;2.00;0.00;29.41;196.08;142.97;8169.93;344.77
Feasible;0.27;2.00;0.00;30.19;377.36;245.28;0.00;818.87
Feasible;0.12;0.00;0.00;16.53;82.64;82.64;1239.67;1123.97
Feasible;0.05;0.00;0.00;160.00;200.00;200.00;0.00;2720.00
Feasible;0.50;0.00;0.00;4.00;40.00;40.00;2000.00;108.00
Feasible;0.08;0.00;0.00;25.00;150.00;37.50;4375.00;900.00
Feasible;0.09;2.00;0.00;32.61;152.17;152.17;5434.78;1130.43
Feasible;0.09;2.00;0.00;32.61;152.17;152.17;5434.78;1097.83
Feasible;0.40;0.00;0.00;45.00;262.50;90.00;0.00;1022.50
Feasible;0.35;0.00;0.00;40.00;268.57;0.00;0.00;882.86
Feasible;0.35;0.00;0.00;43.10;229.89;143.68;862.07;839.08
Feasible;0.85;2.00;0.00;10.59;61.18;47.06;0.00;621.18
Feasible;0.29;2.00;0.00;34.97;276.22;174.83;0.00;1342.66
Feasible;0.40;2.00;0.00;32.50;280.00;215.00;0.00;1097.50
Feasible;0.21;1.00;0.00;37.91;236.97;236.97;1279.62;786.73
Feasible;0.21;1.00;0.00;37.91;236.97;236.97;1279.62;957.35
Feasible;0.28;0.00;0.00;35.71;142.86;142.86;1428.57;464.29
Feasible;0.24;2.00;0.00;28.93;223.14;49.59;619.83;1185.95
Feasible;0.18;1.00;0.00;45.71;360.00;217.14;0.00;1411.43
Feasible;0.21;1.00;0.00;42.86;309.52;190.48;0.00;1123.81
Feasible;0.16;0.00;0.00;30.49;97.56;48.78;1829.27;3414.63
Feasible;0.16;0.00;0.00;30.49;97.56;48.78;1829.27;853.66
Feasible;0.20;0.00;0.00;39.41;123.15;49.26;1231.53;768.47
Feasible;0.19;1.00;0.00;59.46;113.51;48.65;0.00;2383.78
Feasible;0.35;1.00;0.00;45.85;243.55;85.96;2292.26;644.70
Feasible;0.35;0.00;0.00;45.85;243.55;42.98;2292.26;644.70
Feasible;0.29;0.00;1.00;27.97;174.83;0.00;0.00;1332.17
Feasible;0.19;0.00;1.00;43.01;268.82;0.00;0.00;1107.53
Feasible;0.21;0.00;1.00;32.71;186.92;0.00;2102.80;560.75
Feasible;0.19;1.00;0.00;31.58;200.00;0.00;1315.79;1194.74
Feasible;0.13;0.00;0.00;38.76;317.83;69.77;0.00;1457.36
Feasible;0.13;0.00;0.00;38.76;317.83;69.77;0.00;1271.32
Feasible;0.16;0.00;0.00;19.11;95.54;63.69;3184.71;1509.55
Feasible;0.16;0.00;0.00;19.11;95.54;63.69;1910.83;617.83
Feasible;0.16;0.00;0.00;31.85;95.54;63.69;3184.71;1847.13
Feasible;0.16;2.00;0.00;318.47;159.24;95.54;0.00;1082.80
Feasible;0.19;0.00;0.00;37.63;376.34;225.81;4032.26;897.85
Feasible;0.19;2.00;0.00;37.63;376.34;225.81;4032.26;849.46
Feasible;0.21;0.00;0.00;23.36;116.82;4.67;467.29;1242.99
Feasible;0.21;0.00;0.00;23.36;116.82;4.67;467.29;1383.18
Feasible;0.11;0.00;0.00;35.09;87.72;17.54;1052.63;1271.93
Feasible;0.11;0.00;0.00;17.54;87.72;43.86;1096.49;1649.12
